id,year,field,author
W146474571,2003,"Business, Management and Accounting",Bayu Prestianto; Sugiono Sugiono; Susilo Toto R
W286148134,2014,Social Sciences,Masnur Marpaung; Pintor Simamora
W210277063,2011,Environmental Science,Kyung-Ho Ko
W65957438,2001,Arts and Humanities,David A. Latif
W342808976,2014,Arts and Humanities,Norsyida Md Zin; Sedek Ariffin; Norhidayah Yusoff
W119360432,1992,Arts and Humanities,Rose-Marie Lagrave
W167136357,1994,Medicine,Usenko Ad; Grazhdanov Np; Stepanets Vi; Neshcheret En; Maksiutenko Ev
W60540247,2013,Arts and Humanities,James G. Barnard
W292174252,2013,Social Sciences,Yatmono; Dwi Yulianti; Isa Akhlis
W66678629,2007,Medicine,Marzuki Marzuki; Onny Setiani; Budiyono Budiyono
W56903138,2000,Earth and Planetary Sciences,Constantine D. Memos
W277474787,1985,Social Sciences,Liu Z
W2409626926,2005,Arts and Humanities,Kelly C. McLeland; Geoffrey W. Sutton
W2417418341,2014,Health Professions,Sunandar Ihsan; Putri Rezkya; Nur Illiyyin Akib
W2417530961,2015,Arts and Humanities,Giuseppe Bianchini
W2442957958,2013,Social Sciences,Ahmad Musseng
W2426413337,2002,Arts and Humanities,Karpov IuA
W2410931774,1977,Immunology and Microbiology,Patt
W2409180131,1991,Arts and Humanities,Klimpel
W2441811096,1975,Arts and Humanities,H. Thomas Johnson
W2414460295,2013,Health Professions,Paryono Paryono
W2427791391,2008,Arts and Humanities,Mirek Lojkasek; Elisabeth Muir; Nancy J. Cohen
W50976732,2014,Social Sciences,B I Fuada; Sarwi Sarwi; Suharto Linuwih
W181811777,2009,Computer Science,Dane Kurnia Putra; Imam Santoso; Ajub Ajulian Zahra
W184836940,2013,"Business, Management and Accounting",Dedi Nugraha; Sugito Sugito; Dwi Ispriyanti
W171659442,2000,Arts and Humanities,Jacqui Taylor; Bruce A. Berger; Heidi M. Anderson-harper; Robert E. Pearson
W76547238,2001,Arts and Humanities,Gayle A. Brazeau
W2419184781,2013,Social Sciences,Deni Ernawati; Siti Wahyuningsih; Warananingtyas Palupi
W2410828243,2014,Materials Science,N.V. Balenko; І. О. Черниченко; С. Н. Цимбалюк; М. В. Гульчій; Є. А. Баглій; Fedorenko Zp; О М Осташ
W7022152,2013,Arts and Humanities,Thomas Jacob Glorioso
W1012038858,2003,Arts and Humanities,S Jitprapaikulsarn
W1955884304,2010,Social Sciences,Seher Mandacı Şahin
W1645557075,1998,Arts and Humanities,Ludmilla Aguiar
W1920451059,2015,Agricultural and Biological Sciences,عباس صفرنژاد
W1530230365,1980,Engineering,IAN L. BAILEY; JAN E. LOVIE
W1850589014,2010,Arts and Humanities,Suphi Önder Bütüner; Adnan Bakı
W1035870439,1992,Arts and Humanities,Paul Watry
W1874801905,2010,Arts and Humanities,Zülfü Demirtaş; Gökhan Kahveci
W1664274244,2009,Arts and Humanities,Silvia R. C. Lopes; Albert David Ditchfield
W1492938424,2014,Agricultural and Biological Sciences,زینب شریعتمداری; حسین ریاحی; علی سنبلی
W1608656026,2002,Arts and Humanities,Matthias Franz
W1581727219,2016,Social Sciences,Sulasi Rongiyati
W1562655300,2016,Arts and Humanities,Prianter Jaya Hairi
W1927585651,2013,Arts and Humanities,Daniel Calbino
W1858964479,2013,Environmental Science,Larissa Carneiro Rangel; Leonardo Ribeiro Moço Pessanha
W2022447011,2006,Social Sciences,Francisco Javier Romero
W638538222,2013,Arts and Humanities,"Dzekedze, Vitus Numkemia"
W1565316052,2007,Social Sciences,Marcos Maestri
W1598417682,2010,Social Sciences,Agus Sjafari
W1590365496,2016,Social Sciences,Shanti Dwi Kartika
W2101020122,2010,Arts and Humanities,Erdal Bay; Halil İbrahim Kaya; Kerim Gündoğdu
W1501622468,2018,"Business, Management and Accounting",Aang Munawar
W1525514410,2013,Mathematics,Eva Ostertagová; Oskar Ostertag
W1937196069,2010,Arts and Humanities,Karina Navarrete Pérez
W1655012493,2006,Energy,Hironori Arakawa; Shiraishi Chikara; Arata Takeuchi; Takeshi Yamaguchi
W1544847250,2010,Social Sciences,K. Nugroho
W927630865,2008,Arts and Humanities,M. Ragip Zik
W1522343916,2011,Arts and Humanities,"Mallon, Gareth"
W1771118177,2010,Arts and Humanities,Andreza Tacyana Felix Carvalho; Benevides Bonavides de Araújo
W1804012638,2002,Arts and Humanities,Cristina T. Camagong; Takaharu Honjo
W1510502171,2010,Social Sciences,Anaïs Wion
W863320738,2005,Environmental Science,Samuel B. Anim-Addo; I. David
W1134446874,2015,Health Professions,Nina Lelawati Nina Lelawati
