source,target
W210277063,W2794519871
W65957438,W51467966
W65957438,W72659234
W65957438,W127523708
W65957438,W129016640
W65957438,W138047100
W65957438,W183173049
W65957438,W247418600
W65957438,W379636932
W65957438,W639009716
W65957438,W649060589
W65957438,W655492449
W65957438,W1506025291
W65957438,W1763840768
W65957438,W1970267509
W65957438,W1971534408
W65957438,W1972416216
W65957438,W1981199130
W65957438,W2010658849
W65957438,W2011207582
W65957438,W2012457626
W65957438,W2020284534
W65957438,W2036632045
W65957438,W2040720954
W65957438,W2040873459
W65957438,W2054949118
W65957438,W2056652997
W65957438,W2069613430
W65957438,W2083647746
W65957438,W2087305645
W65957438,W2103050016
W65957438,W2123477887
W65957438,W2225164347
W65957438,W2233386677
W65957438,W2402276871
W65957438,W2410892121
W65957438,W2798360410
W65957438,W2892022744
W65957438,W2994846642
W342808976,W1978567155
W56903138,W984156247
W56903138,W2005747345
W56903138,W2241500659
W56903138,W2280916691
W56903138,W2339295179
W2441811096,W253167925
W2441811096,W1499268907
W2441811096,W1505017050
W2441811096,W1965176321
W2441811096,W1991024211
W2441811096,W2098817201
W2441811096,W2172249317
W2441811096,W2620272761
W2441811096,W3123733296
W171659442,W104417826
W171659442,W221897654
W171659442,W1530091002
W171659442,W1562208008
W171659442,W1967729323
W171659442,W1977604339
W171659442,W1982210139
W171659442,W1987174934
W171659442,W2010214743
W171659442,W2011280808
W171659442,W2034181307
W171659442,W2041042003
W171659442,W2046858415
W171659442,W2049844133
W171659442,W2054543158
W171659442,W2057851370
W171659442,W2061320251
W171659442,W2061560507
W171659442,W2062510898
W171659442,W2067312306
W171659442,W2074511573
W171659442,W2083242524
W171659442,W2084489557
W171659442,W2090486324
W171659442,W2103080710
W171659442,W2127679323
W171659442,W2153600958
W171659442,W2162205187
W171659442,W2255513854
W171659442,W2279758799
W171659442,W2295968346
W171659442,W2300232163
W171659442,W2323107822
W171659442,W2463002657
W171659442,W2496932819
W171659442,W2505948905
W171659442,W2520104302
W171659442,W2544295826
W171659442,W2733144672
W171659442,W2784001277
W76547238,W70962199
W76547238,W94913644
W76547238,W638856010
W76547238,W1549196970
W76547238,W1558097898
