decile,group,n_papers,sum_cited,sum_mutual,rate_pct
1,diverse,270340,1264467.0,2127.0,0.16821316807793324
1,non-diverse,7253744,28716888.0,61245.0,0.21327171662890493
2,diverse,1465733,11310217.0,18797.0,0.1661948661108801
2,non-diverse,7355401,54514578.0,98125.0,0.17999772464532332
3,diverse,1607368,17740330.0,28189.0,0.1588978333548474
3,non-diverse,4380200,47926394.0,78388.0,0.1635591444664082
4,diverse,3126715,47055470.0,72720.0,0.1545410129789374
4,non-diverse,5500207,81797167.0,125497.0,0.15342462899723655
5,diverse,3354429,67131321.0,99216.0,0.14779390383216204
5,non-diverse,4042449,80395355.0,112758.0,0.14025437166114882
6,diverse,4028063,102670385.0,145054.0,0.1412812467782214
6,non-diverse,3569191,90459852.0,116248.0,0.128507837930135
7,diverse,5071570,164443069.0,208086.0,0.12653984218696382
7,non-diverse,3252777,104676185.0,119995.0,0.11463447965743115
8,diverse,5301760,218908255.0,237828.0,0.10864277365876403
8,non-diverse,2334800,95668761.0,99535.0,0.10404127633679713
9,diverse,6070498,330481447.0,314089.0,0.09503982836289143
9,non-diverse,1736135,93195842.0,88857.0,0.09534438242427168
10,diverse,6731418,768204916.0,538028.0,0.07003704204361015
10,non-diverse,947991,85083466.0,72771.0,0.08552895576679963
