decile,group,n_papers,n_with_mutual,share_pct
1,diverse,4683985,33970.0,0.725237164508426
1,non-diverse,2840099,21024.0,0.7402558854462468
2,diverse,6662615,77118.0,1.1574734544919676
2,non-diverse,2158519,23660.0,1.0961219243379372
3,diverse,4874874,74990.0,1.5382961692958628
3,non-diverse,1112694,15273.0,1.3726145732789068
4,diverse,7405222,142867.0,1.929273693617828
4,non-diverse,1221700,20187.0,1.652369648849963
5,diverse,6602285,152121.0,2.304065940806857
5,non-diverse,794593,15274.0,1.9222419527984766
6,diverse,6979913,182730.0,2.6179409399515436
6,non-diverse,617341,13256.0,2.1472735489786032
7,diverse,7859685,226423.0,2.8808151980645533
7,non-diverse,464662,11288.0,2.4292926901704894
8,diverse,7386171,234120.0,3.169707281350513
8,non-diverse,250389,7424.0,2.964986481035509
9,diverse,7660273,280188.0,3.65767643006979
9,non-diverse,146360,5373.0,3.6710849959005194
10,diverse,7606822,370817.0,4.874795282445152
10,non-diverse,72587,3707.0,5.106975078182043
