year,n_papers,mean_mutual
1975,282241,0.041762
1976,294116,0.036567
1977,311787,0.028612
1978,329343,0.028268
1979,347243,0.028911
1980,373296,0.022859
1981,392570,0.020091
1982,407156,0.019130
1983,430316,0.016820
1984,454371,0.015903
1985,472557,0.013708
1986,499577,0.014620
1987,528048,0.012010
1988,562137,0.012511
1989,591763,0.011773
1990,626414,0.013541
1991,657325,0.012956
1992,688445,0.012721
1993,698758,0.011509
1994,725553,0.012921
1995,761734,0.013200
1996,823438,0.012510
1997,873230,0.013148
1998,933977,0.013531
1999,989369,0.015044
2000,1125860,0.015280
2001,1149605,0.016838
2002,1524469,0.015669
2003,1514750,0.017019
2004,1583496,0.017225
2005,1789325,0.016935
2006,1952754,0.017294
2007,2043611,0.018034
2008,2228175,0.018889
2009,2380189,0.018960
2010,2570798,0.017095
2011,2788992,0.016960
2012,2996429,0.016582
2013,3219623,0.015606
2014,3412354,0.013330
2015,3454671,0.011209
2016,3474522,0.010201
2017,3588877,0.012290
2018,3844145,0.017797
2019,4166337,0.018146
2020,4780329,0.009764
2021,5111148,0.003928
2022,5065937,0.003122
2023,5363788,0.002353
