decile,group,n_papers,sum_cited,sum_mutual,rate_pct
1,diverse,1747398,7426984.0,13162.0,0.1772186394908081
1,non-diverse,8121297,31130519.0,51027.0,0.1639131040507227
2,diverse,2863930,20189233.0,33492.0,0.1658904030678134
2,non-diverse,4556127,31405009.0,52139.0,0.16602128660431206
3,diverse,4463245,46956678.0,72842.0,0.15512596525674155
3,non-diverse,4385559,45535756.0,67360.0,0.14792770762387256
4,diverse,5720241,85782074.0,125274.0,0.1460375042925635
4,non-diverse,3677405,54606992.0,74686.0,0.13677003120772518
5,diverse,6622293,135577749.0,184557.0,0.13612631966621602
5,non-diverse,2992919,60784336.0,73176.0,0.12038627846489924
6,diverse,6193539,163914468.0,206044.0,0.12570214363261697
6,non-diverse,2044958,53829918.0,56985.0,0.10586120528736455
7,diverse,7414700,247568045.0,272613.0,0.11011639244475191
7,non-diverse,1738714,57573909.0,53963.0,0.09372821984347111
8,diverse,7438576,314326647.0,292332.0,0.09300261456993177
8,non-diverse,1128084,47249085.0,41159.0,0.08711068161425771
9,diverse,8158342,451680424.0,364013.0,0.080590829413497
9,non-diverse,757895,41342532.0,33774.0,0.0816931096527905
10,diverse,8494985,957605091.0,583248.0,0.060906944363770095
10,non-diverse,386689,34278221.0,26876.0,0.07840546917531105
