decile,group,n_papers,n_with_mutual,share_pct
1,diverse,1747398,11496.0,0.6578924778442004
1,non-diverse,8121297,44160.0,0.5437555109731856
2,diverse,2863930,28971.0,1.0115819869899054
2,non-diverse,4556127,44967.0,0.9869566849212061
3,diverse,4463245,61893.0,1.3867264736755431
3,non-diverse,4385559,57014.0,1.300039516057132
4,diverse,5720241,103685.0,1.8125984552049468
4,non-diverse,3677405,60782.0,1.6528503115648128
5,diverse,6622293,145303.0,2.1941493679002124
5,non-diverse,2992919,57508.0,1.9214686398128382
6,diverse,6193539,152515.0,2.462485503037924
6,non-diverse,2044958,43446.0,2.124542411139984
7,diverse,7414700,196213.0,2.6462702469418855
7,non-diverse,1738714,39982.0,2.299515619014973
8,diverse,7438576,210144.0,2.8250568388358204
8,non-diverse,1128084,29112.0,2.580658887104152
9,diverse,8158342,258617.0,3.1699700748019635
9,non-diverse,757895,23435.0,3.0921169819038257
10,diverse,8494985,356944.0,4.201820250418335
10,non-diverse,386689,17005.0,4.397590828805577
