paper_a,paper_b
W5820652,W329163343
W25594319,W2035093168
W44840917,W107187464
W45621156,W2251458042
W45780980,W2303388750
W45923503,W2007830863
W33864801,W67685885
W86264449,W2118547492
W22491964,W106063718
W126150249,W2619877549
W128210533,W1996384468
W136105184,W140992229
W142389537,W2097870054
W160808434,W1982166646
W30253219,W161693999
W70297906,W181822820
W181881221,W2017417312
W260740434,W2149586040
W268034449,W2016420597
W340488518,W2012595574
W340803886,W4210311064
W566614373,W592462813
W592542663,W1544397242
W594374948,W2083421908
W597652309,W2095319172
W766922509,W2015111077
W770061817,W2223195616
W776855874,W831239666
W1419532269,W1433084048
W1483803362,W1976859973
W1484624041,W1580168760
W1484624614,W2281802187
W1493521075,W1493855748
W1493688901,W2045214907
W1503178966,W2137565093
W1503375998,W1531735728
W1503440114,W2177958358
W1503551359,W1572202720
W1511863120,W2162828681
W1511936369,W1559674003
W1512273208,W1596604773
W1512332135,W1826837403
W1489481765,W1512424776
W1512702418,W2013540490
W1521228768,W2000516858
W1521280353,W1591584453
W1521313832,W1983191702
W1521764480,W1544306742
W1521891684,W1544393547
W1522046476,W2009507727
W1522331448,W2061762240
W1522333581,W3104596038
W1532042174,W1554861105
W2209519,W1532086385
W1532680956,W2170246813
W1483631484,W1540431653
W1540503962,W2012304939
W332086273,W1540586219
W1540735858,W2528792270
W1549984976,W1595041927
W1550065972,W2262602498
W1550238366,W2119369520
W1550405752,W2484498947
W1558395093,W1986199740
W1558550881,W2955958370
W1558551486,W1605067510
W1564241141,W2112984925
W149086516,W1564441948
W1564631435,W1587096552
W1533824656,W1564868997
W1573594394,W2064695650
W1573700373,W2102824954
W1560219714,W1573848553
W1574028549,W1606559438
W1574372530,W1987307117
W1535571360,W1574527141
W1583075440,W1998126839
W1552851226,W1583238658
W1583453446,W1998125204
W1586743496,W1592541762
W1491042134,W1592555334
W1592805094,W2031427360
W1482761079,W1593089634
W1593228246,W2150519434
W191239104,W1593286023
W1516608626,W1593529019
W1603886229,W2054720776
W1603910172,W2107603321
W1604300816,W2112886725
W1604330432,W1966793878
W312187524,W1604398202
W1608970247,W1623362398
W1624687270,W2112724318
W1624829794,W2009524125
W1624854622,W2144982973
W1625798751,W1976801672
W1491259378,W1627600591
W1670847782,W1965124767
W1577036792,W1671422194
W1672233424,W1972118561
