year,n_papers,total_refs,avg_ref_length
1975,515931,3980416,7.7150
1976,536497,4257288,7.9353
1977,563935,4649832,8.2453
1978,591265,4976651,8.4170
1979,617446,5472622,8.8633
1980,669573,5927171,8.8522
1981,682259,6424704,9.4168
1982,706508,7005938,9.9163
1983,738334,7361392,9.9703
1984,779800,7964199,10.2131
1985,807732,8362214,10.3527
1986,852710,9026331,10.5855
1987,902254,9556608,10.5919
1988,944720,10416331,11.0258
1989,1002943,11309905,11.2767
1990,1082040,12083757,11.1676
1991,1106645,13057922,11.7996
1992,1158266,14142272,12.2099
1993,1204328,14246770,11.8296
1994,1256068,15341756,12.2141
1995,1315882,16656424,12.6580
1996,1393145,18217415,13.0765
1997,1437284,19516792,13.5789
1998,1512122,21334545,14.1090
1999,1564035,23252489,14.8670
2000,1777228,27921797,15.7109
2001,1780497,28527905,16.0224
2002,2197348,34191991,15.5606
2003,2202804,37686359,17.1084
2004,2310783,40305810,17.4425
2005,2553425,46202653,18.0944
2006,2737805,50632096,18.4937
2007,2866339,55067721,19.2119
2008,3079452,60500973,19.6467
2009,3285096,66605138,20.2749
2010,3519441,72954273,20.7289
2011,3744286,81169428,21.6782
2012,3993984,89071166,22.3013
2013,4241178,95701343,22.5648
2014,4417689,103213738,23.3637
2015,4501278,106383759,23.6341
2016,4568912,109506570,23.9678
2017,4742480,115433761,24.3404
2018,4981325,125664313,25.2271
2019,5276358,143602273,27.2162
2020,5876230,170100312,28.9472
2021,6011248,190446810,31.6817
2022,5853920,187358465,32.0056
2023,6031157,196547579,32.5887
