year,n_papers,mean_mutual,mean_diversity
1975,284238,0.067644,0.552847
1976,296145,0.066906,1.057786
1977,314027,0.059087,1.477109
1978,331948,0.056753,1.780152
1979,350058,0.058856,2.008584
1980,376180,0.052499,2.182599
1981,395264,0.049271,2.337769
1982,410393,0.048307,2.467398
1983,433315,0.045703,2.556535
1984,456698,0.045798,2.639762
1985,474651,0.043586,2.703915
1986,501880,0.043285,2.775357
1987,530586,0.041535,2.806512
1988,564754,0.041498,2.850662
1989,594494,0.040764,2.903996
1990,629556,0.041367,2.934363
1991,660779,0.041236,2.972231
1992,692015,0.041607,2.999084
1993,701877,0.039280,2.995837
1994,729102,0.041258,3.042460
1995,765165,0.041294,3.081756
1996,827398,0.039918,3.106367
1997,877431,0.040657,3.119948
1998,937795,0.040596,3.124111
1999,992635,0.042595,3.149637
2000,1129775,0.041335,3.146740
2001,1154740,0.043623,3.175718
2002,1529025,0.044969,2.980337
2003,1519275,0.045229,3.124465
2004,1590410,0.043514,3.149211
2005,1812677,0.041924,3.126320
2006,1957812,0.042043,3.161954
2007,2049130,0.042011,3.225646
2008,2233649,0.042402,3.217706
2009,2385054,0.041334,3.269647
2010,2580548,0.038260,3.285558
2011,2794520,0.036494,3.340448
2012,3004029,0.034920,3.371455
2013,3226488,0.033278,3.380201
2014,3422857,0.030177,3.417259
2015,3462145,0.026663,3.450167
2016,3486844,0.024789,3.470388
2017,3600353,0.026197,3.500288
2018,3856952,0.032256,3.535495
2019,4181187,0.032032,3.629998
2020,4801762,0.020955,3.730051
2021,5139447,0.013423,3.886226
2022,5090180,0.010376,3.892535
2023,5390813,0.008519,3.899559
2024,14767590,0.002085,2.193782
2025,16651543,0.000783,2.115444
