year,diversity_group,n_papers,n_with_mutual,share_pct
1975,1,89416,5374,6.0101
1975,2,20249,2050,10.1240
1976,1,120786,4426,3.6643
1976,2,48138,3196,6.6392
1976,3,17779,1605,9.0275
1977,1,125768,3474,2.7622
1977,2,67347,3448,5.1198
1977,3,32970,2270,6.8850
1977,4,13511,1104,8.1711
1978,1,123278,2681,2.1748
1978,2,78543,3261,4.1519
1978,3,44723,2406,5.3798
1978,4,21284,1437,6.7516
1979,1,122081,2578,2.1117
1979,2,83762,3159,3.7714
1979,3,53863,2804,5.2058
1979,4,27892,1803,6.4642
1979,5,12992,913,7.0274
1979,6+,10665,822,7.7075
1980,1,123335,2276,1.8454
1980,2,91058,3218,3.5340
1980,3,61643,2958,4.7986
1980,4,34742,2093,6.0244
1980,5,17305,1169,6.7553
1980,6+,14946,1125,7.5271
1981,1,122727,2242,1.8268
1981,2,95127,3088,3.2462
1981,3,68396,2982,4.3599
1981,4,40940,2296,5.6082
1981,5,21311,1351,6.3394
1981,6+,19225,1423,7.4018
1982,1,121657,2085,1.7138
1982,2,96808,3118,3.2208
1982,3,72897,3159,4.3335
1982,4,45439,2474,5.4447
1982,5,24971,1516,6.0710
1982,6+,24306,1663,6.8419
1983,1,123556,2162,1.7498
1983,2,102135,3202,3.1351
1983,3,78294,3202,4.0897
1983,4,50034,2616,5.2284
1983,5,28566,1641,5.7446
1983,6+,28722,1927,6.7091
1984,1,126521,2122,1.6772
1984,2,105788,3195,3.0202
1984,3,82580,3380,4.0930
1984,4,55155,2750,4.9859
1984,5,32250,1911,5.9256
1984,6+,33770,2206,6.5324
1985,1,127560,2240,1.7560
1985,2,110110,3410,3.0969
1985,3,87121,3376,3.8751
1985,4,58676,2793,4.7600
1985,5,34939,1939,5.5497
1985,6+,37511,2510,6.6914
1986,1,130263,2109,1.6190
1986,2,114976,3307,2.8763
1986,3,92923,3467,3.7310
1986,4,64251,2908,4.5260
1986,5,38990,2066,5.2988
1986,6+,42854,2832,6.6085
1987,1,136576,2213,1.6203
1987,2,120539,3424,2.8406
1987,3,98612,3716,3.7683
1987,4,68626,3022,4.4036
1987,5,42256,2265,5.3602
1987,6+,46883,2850,6.0790
1988,1,142601,2248,1.5764
1988,2,128196,3602,2.8098
1988,3,105293,3842,3.6489
1988,4,73977,3266,4.4149
1988,5,46276,2463,5.3224
1988,6+,52083,3315,6.3648
1989,1,145562,2459,1.6893
1989,2,134018,3697,2.7586
1989,3,112275,3990,3.5538
1989,4,79144,3347,4.2290
1989,5,50440,2508,4.9722
1989,6+,57638,3479,6.0359
1990,1,152482,2407,1.5785
1990,2,141195,3928,2.7820
1990,3,118822,4188,3.5246
1990,4,85273,3581,4.1995
1990,5,54040,2614,4.8372
1990,6+,62872,3902,6.2063
1991,1,155000,2585,1.6677
1991,2,149025,4057,2.7224
1991,3,125829,4487,3.5660
1991,4,90469,3732,4.1252
1991,5,57834,2729,4.7187
1991,6+,68075,4021,5.9067
1992,1,160764,2644,1.6446
1992,2,155212,4222,2.7202
1992,3,132562,4589,3.4618
1992,4,95513,3927,4.1115
1992,5,61528,3025,4.9165
1992,6+,72748,4564,6.2737
1993,1,162967,2676,1.6421
1993,2,158588,4270,2.6925
