year,n_papers,mean_mutual,mean_diversity
1975,284238,0.041483,0.552847
1976,296145,0.036357,1.057786
1977,314027,0.028434,1.477109
1978,331948,0.028098,1.780152
1979,350058,0.028695,2.008584
1980,376180,0.022731,2.182599
1981,395264,0.019994,2.337769
1982,410393,0.019028,2.467398
1983,433315,0.016731,2.556535
1984,456698,0.015892,2.639762
1985,474651,0.013692,2.703915
1986,501880,0.014587,2.775357
1987,530586,0.011991,2.806512
1988,564754,0.012497,2.850662
1989,594494,0.011770,2.903996
1990,629556,0.013492,2.934363
1991,660779,0.012923,2.972231
1992,692015,0.012690,2.999084
1993,701877,0.011519,2.995837
1994,729102,0.012886,3.042460
1995,765165,0.013154,3.081756
1996,827398,0.012462,3.106367
1997,877431,0.013100,3.119948
1998,937795,0.013501,3.124111
1999,992635,0.015005,3.149637
2000,1129775,0.015235,3.146740
2001,1154740,0.016767,3.175718
2002,1529025,0.015623,2.980337
2003,1519275,0.016969,3.124465
2004,1590410,0.017152,3.149211
2005,1812677,0.016726,3.126320
2006,1957812,0.017252,3.161954
2007,2049130,0.017992,3.225646
2008,2233649,0.018852,3.217706
2009,2385054,0.018929,3.269647
2010,2580548,0.017035,3.285558
2011,2794520,0.016932,3.340448
2012,3004029,0.016541,3.371455
2013,3226488,0.015583,3.380201
2014,3422857,0.013294,3.417259
2015,3462145,0.011191,3.450167
2016,3486844,0.010188,3.470388
2017,3600353,0.012283,3.500288
2018,3856952,0.017762,3.535495
2019,4181187,0.018120,3.629998
2020,4801762,0.009760,3.730051
2021,5139447,0.003959,3.886226
2022,5090180,0.003175,3.892535
2023,5390813,0.002395,3.899559
2024,14767590,0.000576,2.193782
2025,16651543,0.000188,2.115444
