year,diversity_group,n_papers,sum_cited,sum_mutual,rate_pct
1975,1,89416,1258080,1294,0.1029
1975,2,20249,537681,1662,0.3091
1976,1,120786,1398875,1295,0.0926
1976,2,48138,967730,1430,0.1478
1976,3,17779,519371,2295,0.4419
1977,1,125768,1196370,1152,0.0963
1977,2,67347,1162048,1552,0.1336
1977,3,32970,799734,3309,0.4138
1977,4,13511,465199,1748,0.3758
1978,1,123278,1021278,932,0.0913
1978,2,78543,1190177,1098,0.0923
1978,3,44723,963726,1725,0.1790
1978,4,21284,630880,2465,0.3907
1979,1,122081,919245,930,0.1012
1979,2,83762,1180525,1393,0.1180
1979,3,53863,1088793,3590,0.3297
1979,4,27892,758594,2329,0.3070
1979,5,12992,468387,1032,0.2203
1979,6+,10665,888764,767,0.0863
1980,1,123335,868449,870,0.1002
1980,2,91058,1210437,1015,0.0839
1980,3,61643,1177992,2079,0.1765
1980,4,34742,887213,1567,0.1766
1980,5,17305,579602,1628,0.2809
1980,6+,14946,1076471,1383,0.1285
1981,1,122727,818193,854,0.1044
1981,2,95127,1229819,949,0.0772
1981,3,68396,1271053,1823,0.1434
1981,4,40940,1020723,2393,0.2344
1981,5,21311,680536,943,0.1386
1981,6+,19225,1307236,933,0.0714
1982,1,121657,776341,902,0.1162
1982,2,96808,1215510,1245,0.1024
1982,3,72897,1329736,1865,0.1403
1982,4,45439,1112681,1529,0.1374
1982,5,24971,789873,1246,0.1577
1982,6+,24306,1703243,1012,0.0594
1983,1,123556,774807,860,0.1110
1983,2,102135,1258117,1132,0.0900
1983,3,78294,1403293,1637,0.1167
1983,4,50034,1207890,1758,0.1455
1983,5,28566,893351,1023,0.1145
1983,6+,28722,1756693,836,0.0476
1984,1,126521,785316,934,0.1189
1984,2,105788,1286737,1401,0.1089
1984,3,82580,1475187,1360,0.0922
1984,4,55155,1322357,1671,0.1264
1984,5,32250,984412,858,0.0872
1984,6+,33770,2050034,1016,0.0496
1985,1,127560,784350,954,0.1216
1985,2,110110,1323728,1406,0.1062
1985,3,87121,1555324,1441,0.0926
1985,4,58676,1392101,1042,0.0749
1985,5,34939,1069346,579,0.0541
1985,6+,37511,2185125,1066,0.0488
1986,1,130263,794764,912,0.1148
1986,2,114976,1376007,1108,0.0805
1986,3,92923,1646852,1896,0.1151
1986,4,64251,1521260,1696,0.1115
1986,5,38990,1179602,747,0.0633
1986,6+,42854,2459208,953,0.0388
1987,1,136576,827701,1064,0.1285
1987,2,120539,1442777,1325,0.0918
1987,3,98612,1759215,1336,0.0759
1987,4,68626,1630833,1038,0.0636
1987,5,42256,1280366,610,0.0476
1987,6+,46883,2571396,980,0.0381
1988,1,142601,863847,953,0.1103
1988,2,128196,1529648,1437,0.0939
1988,3,105293,1875382,1375,0.0733
1988,4,73977,1763389,1235,0.0700
1988,5,46276,1410273,757,0.0537
1988,6+,52083,2933279,1285,0.0438
1989,1,145562,902432,1088,0.1206
1989,2,134018,1624431,1324,0.0815
1989,3,112275,2040322,1376,0.0674
1989,4,79144,1935237,1089,0.0563
1989,5,50440,1542133,840,0.0545
1989,6+,57638,3226175,1266,0.0392
1990,1,152482,936259,1074,0.1147
1990,2,141195,1721014,1584,0.0920
1990,3,118822,2174806,1746,0.0803
1990,4,85273,2084135,1364,0.0654
1990,5,54040,1681894,820,0.0488
1990,6+,62872,3450002,1901,0.0551
1991,1,155000,981221,1169,0.1191
1991,2,149025,1854612,1588,0.0856
1991,3,125829,2347357,1787,0.0761
1991,4,90469,2254729,1341,0.0595
1991,5,57834,1812560,926,0.0511
1991,6+,68075,3772957,1717,0.0455
1992,1,160764,1016512,1174,0.1155
1992,2,155212,1954980,1650,0.0844
1992,3,132562,2514292,1655,0.0658
1992,4,95513,2406495,1524,0.0633
1992,5,61528,1943966,999,0.0514
1992,6+,72748,4273307,1769,0.0414
1993,1,162967,1054174,1162,0.1102
1993,2,158588,2035207,1531,0.0752
1993,3,134530,2590974,1456,0.0562
1993,4,96909,2484098,1353,0.0545
1993,5,61934,1988835,919,0.0462
1993,6+,73694,4063610,1655,0.0407
1994,1,165482,1087395,1255,0.1154
1994,2,162637,2125902,1625,0.0764
1994,3,140071,2764957,1807,0.0654
1994,4,102303,2667423,1413,0.0530
1994,5,65710,2139366,1228,0.0574
1994,6+,80370,4529035,2057,0.0454
1995,1,170552,1146480,1375,0.1199
1995,2,168720,2257505,1707,0.0756
1995,3,147605,2961920,1800,0.0608
1995,4,108782,2882427,1709,0.0593
1995,5,69787,2298284,1308,0.0569
1995,6+,87544,5082254,2161,0.0425
1996,1,183934,1249413,1385,0.1109
1996,2,181028,2463646,1813,0.0736
1996,3,157843,3211268,2004,0.0624
1996,4,116851,3113939,1675,0.0538
1996,5,77133,2548449,1222,0.0480
1996,6+,98131,5603364,2207,0.0394
1997,1,191376,1331114,1524,0.1145
1997,2,191925,2653779,1869,0.0704
1997,3,169882,3538160,2083,0.0589
1997,4,125057,3396043,1883,0.0554
1997,5,82653,2771382,1425,0.0514
1997,6+,104269,5796813,2704,0.0466
1998,1,205275,1443482,1792,0.1241
1998,2,204638,2895989,2231,0.0770
1998,3,182086,3898403,2363,0.0606
1998,4,133442,3737657,2012,0.0538
1998,5,88199,3030287,1558,0.0514
1998,6+,111891,6301949,2695,0.0428
1999,1,212113,1571301,1775,0.1130
1999,2,217136,3170014,2533,0.0799
1999,3,192852,4238013,2968,0.0700
1999,4,143504,4088815,2569,0.0628
