year,diversity_group,n_papers,n_with_mutual,share_pct
1975,1,89416,1195,1.3364
1975,2,20249,518,2.5582
1976,1,120786,1167,0.9662
1976,2,48138,792,1.6453
1976,3,17779,504,2.8348
1977,1,125768,1006,0.7999
1977,2,67347,888,1.3185
1977,3,32970,633,1.9199
1977,4,13511,344,2.5461
1978,1,123278,834,0.6765
1978,2,78543,874,1.1128
1978,3,44723,574,1.2835
1978,4,21284,389,1.8277
1979,1,122081,814,0.6668
1979,2,83762,805,0.9611
1979,3,53863,769,1.4277
1979,4,27892,471,1.6887
1979,5,12992,267,2.0551
1979,6+,10665,270,2.5316
1980,1,123335,774,0.6276
1980,2,91058,835,0.9170
1980,3,61643,743,1.2053
1980,4,34742,504,1.4507
1980,5,17305,334,1.9301
1980,6+,14946,363,2.4287
1981,1,122727,760,0.6193
1981,2,95127,809,0.8504
1981,3,68396,741,1.0834
1981,4,40940,598,1.4607
1981,5,21311,314,1.4734
1981,6+,19225,411,2.1378
1982,1,121657,771,0.6337
1982,2,96808,891,0.9204
1982,3,72897,802,1.1002
1982,4,45439,591,1.3006
1982,5,24971,400,1.6019
1982,6+,24306,460,1.8925
1983,1,123556,783,0.6337
1983,2,102135,883,0.8645
1983,3,78294,858,1.0959
1983,4,50034,632,1.2631
1983,5,28566,414,1.4493
1983,6+,28722,535,1.8627
1984,1,126521,809,0.6394
1984,2,105788,880,0.8319
1984,3,82580,829,1.0039
1984,4,55155,641,1.1622
1984,5,32250,432,1.3395
1984,6+,33770,579,1.7145
1985,1,127560,841,0.6593
1985,2,110110,982,0.8918
1985,3,87121,841,0.9653
1985,4,58676,670,1.1419
1985,5,34939,441,1.2622
1985,6+,37511,650,1.7328
1986,1,130263,823,0.6318
1986,2,114976,958,0.8332
1986,3,92923,907,0.9761
1986,4,64251,763,1.1875
1986,5,38990,498,1.2773
1986,6+,42854,714,1.6661
1987,1,136576,846,0.6194
1987,2,120539,969,0.8039
1987,3,98612,906,0.9188
1987,4,68626,701,1.0215
1987,5,42256,476,1.1265
1987,6+,46883,725,1.5464
1988,1,142601,820,0.5750
1988,2,128196,1029,0.8027
1988,3,105293,969,0.9203
1988,4,73977,834,1.1274
1988,5,46276,592,1.2793
1988,6+,52083,889,1.7069
