year,diversity_group,n_papers,sum_cited,sum_mutual,rate_pct
1975,0,166924,1761468,5,0.0003
1975,1,89416,1258080,5872,0.4667
1975,2,20249,537681,3604,0.6703
1975,3,5118,208269,1710,0.8211
1975,4,1515,119569,2149,1.7973
1975,5,690,49327,5496,11.1420
1975,6+,326,44708,391,0.8746
1976,0,100210,822716,7,0.0009
1976,1,120786,1398875,5017,0.3586
1976,2,48138,967730,4385,0.4531
1976,3,17779,519371,3713,0.7149
1976,4,5987,260103,2811,1.0807
1976,5,1916,116746,1568,1.3431
1976,6+,1329,170373,2313,1.3576
1977,0,65743,411426,4,0.0010
1977,1,125768,1196370,3895,0.3256
1977,2,67347,1162048,4669,0.4018
1977,3,32970,799734,5360,0.6702
1977,4,13511,465199,2751,0.5914
1977,5,5116,251156,1231,0.4901
1977,6+,3572,362589,645,0.1779
1978,0,48477,242475,10,0.0041
1978,1,123278,1021278,3003,0.2940
1978,2,78543,1190177,3886,0.3265
1978,3,44723,963726,3971,0.4120
1978,4,21284,630880,3807,0.6034
1978,5,8929,361564,2665,0.7371
1978,6+,6714,565168,1497,0.2649
1979,0,38803,166823,4,0.0024
1979,1,122081,919245,2914,0.3170
1979,2,83762,1180525,4156,0.3520
1979,3,53863,1088793,6035,0.5543
1979,4,27892,758594,4019,0.5298
1979,5,12992,468387,1896,0.4048
1979,6+,10665,888764,1579,0.1777
1980,0,33151,125547,10,0.0080
1980,1,123335,868449,2563,0.2951
1980,2,91058,1210437,3807,0.3145
1980,3,61643,1177992,4757,0.4038
1980,4,34742,887213,3499,0.3944
1980,5,17305,579602,2691,0.4643
1980,6+,14946,1076471,2422,0.2250
1981,0,27538,95584,10,0.0105
1981,1,122727,818193,2519,0.3079
1981,2,95127,1229819,3605,0.2931
1981,3,68396,1271053,4442,0.3495
1981,4,40940,1020723,4432,0.4342
1981,5,21311,680536,2227,0.3272
1981,6+,19225,1307236,2240,0.1714
1982,0,24315,77030,11,0.0143
1982,1,121657,776341,2422,0.3120
1982,2,96808,1215510,3814,0.3138
1982,3,72897,1329736,4649,0.3496
1982,4,45439,1112681,3781,0.3398
1982,5,24971,789873,2603,0.3295
1982,6+,24306,1703243,2545,0.1494
1983,0,22008,65637,4,0.0061
1983,1,123556,774807,2430,0.3136
1983,2,102135,1258117,3801,0.3021
1983,3,78294,1403293,4385,0.3125
1983,4,50034,1207890,4082,0.3379
1983,5,28566,893351,2493,0.2791
1983,6+,28722,1756693,2609,0.1485
1984,0,20634,58458,18,0.0308
1984,1,126521,785316,2439,0.3106
1984,2,105788,1286737,4125,0.3206
1984,3,82580,1475187,4417,0.2994
1984,4,55155,1322357,4173,0.3156
1984,5,32250,984412,2636,0.2678
1984,6+,33770,2050034,3108,0.1516
1985,0,18734,50533,11,0.0218
1985,1,127560,784350,2594,0.3307
1985,2,110110,1323728,4283,0.3236
1985,3,87121,1555324,4461,0.2868
1985,4,58676,1392101,3566,0.2562
1985,5,34939,1069346,2372,0.2218
1985,6+,37511,2185125,3401,0.1556
1986,0,17623,46798,10,0.0214
1986,1,130263,794764,2416,0.3040
1986,2,114976,1376007,3848,0.2796
1986,3,92923,1646852,4907,0.2980
1986,4,64251,1521260,4294,0.2823
1986,5,38990,1179602,2636,0.2235
1986,6+,42854,2459208,3613,0.1469
1987,0,17094,42418,11,0.0259
1987,1,136576,827701,2680,0.3238
1987,2,120539,1442777,4276,0.2964
1987,3,98612,1759215,4678,0.2659
1987,4,68626,1630833,3808,0.2335
1987,5,42256,1280366,2827,0.2208
1987,6+,46883,2571396,3758,0.1461
1988,0,16328,38548,17,0.0441
1988,1,142601,863847,2612,0.3024
1988,2,128196,1529648,4499,0.2941
1988,3,105293,1875382,4794,0.2556
1988,4,73977,1763389,4148,0.2352
1988,5,46276,1410273,3049,0.2162
1988,6+,52083,2933279,4317,0.1472
1989,0,15417,37134,14,0.0377
1989,1,145562,902432,2863,0.3173
1989,2,134018,1624431,4537,0.2793
1989,3,112275,2040322,5053,0.2477
1989,4,79144,1935237,4117,0.2127
1989,5,50440,1542133,3117,0.2021
1989,6+,57638,3226175,4533,0.1405
1990,0,14872,33462,5,0.0149
1990,1,152482,936259,2769,0.2958
1990,2,141195,1721014,4851,0.2819
1990,3,118822,2174806,5346,0.2458
1990,4,85273,2084135,4547,0.2182
1990,5,54040,1681894,3237,0.1925
1990,6+,62872,3450002,5288,0.1533
1991,0,14547,32012,11,0.0344
1991,1,155000,981221,3024,0.3082
1991,2,149025,1854612,5121,0.2761
1991,3,125829,2347357,5706,0.2431
1991,4,90469,2254729,4648,0.2061
1991,5,57834,1812560,3347,0.1847
1991,6+,68075,3772957,5391,0.1429
1992,0,13688,30266,11,0.0363
1992,1,160764,1016512,3027,0.2978
1992,2,155212,1954980,5214,0.2667
1992,3,132562,2514292,5703,0.2268
1992,4,95513,2406495,5033,0.2091
1992,5,61528,1943966,3841,0.1976
1992,6+,72748,4273307,5964,0.1396
1993,0,13255,27499,10,0.0364
1993,1,162967,1054174,3093,0.2934
1993,2,158588,2035207,5108,0.2510
1993,3,134530,2590974,5458,0.2107
1993,4,96909,2484098,4885,0.1967
1993,5,61934,1988835,3444,0.1732
1993,6+,73694,4063610,5572,0.1371
1994,0,12529,25293,11,0.0435
1994,1,165482,1087395,3263,0.3001
1994,2,162637,2125902,5355,0.2519
1994,3,140071,2764957,6014,0.2175
1994,4,102303,2667423,5089,0.1908
1994,5,65710,2139366,3987,0.1864
1994,6+,80370,4529035,6362,0.1405
1995,0,12175,25040,8,0.0319
1995,1,170552,1146480,3383,0.2951
1995,2,168720,2257505,5575,0.2470
1995,3,147605,2961920,6213,0.2098
1995,4,108782,2882427,5538,0.1921
1995,5,69787,2298284,4209,0.1831
1995,6+,87544,5082254,6671,0.1313
1996,0,12478,24322,6,0.0247
1996,1,183934,1249413,3533,0.2828
1996,2,181028,2463646,5717,0.2321
1996,3,157843,3211268,6551,0.2040
1996,4,116851,3113939,5892,0.1892
1996,5,77133,2548449,4254,0.1669
1996,6+,98131,5603364,7075,0.1263
1997,0,12269,26345,7,0.0266
1997,1,191376,1331114,3601,0.2705
1997,2,191925,2653779,5891,0.2220
1997,3,169882,3538160,6980,0.1973
1997,4,125057,3396043,6150,0.1811
1997,5,82653,2771382,4827,0.1742
1997,6+,104269,5796813,8218,0.1418
1998,0,12264,23475,10,0.0426
1998,1,205275,1443482,4025,0.2788
1998,2,204638,2895989,6650,0.2296
1998,3,182086,3898403,7497,0.1923
1998,4,133442,3737657,6550,0.1752
1998,5,88199,3030287,5032,0.1661
1998,6+,111891,6301949,8307,0.1318
1999,0,12160,22712,4,0.0176
1999,1,212113,1571301,4386,0.2791
1999,2,217136,3170014,7024,0.2216
1999,3,192852,4238013,8598,0.2029
1999,4,143504,4088815,7378,0.1804
1999,5,94274,3293322,5626,0.1708
1999,6+,120596,6864858,9265,0.1350
2000,0,13742,32564,3,0.0092
2000,1,251994,1925005,4574,0.2376
2000,2,244254,3760415,7718,0.2052
2000,3,215108,4955903,9230,0.1862
2000,4,159718,4726500,8208,0.1737
2000,5,104599,3775069,5969,0.1581
2000,6+,140360,8742419,10997,0.1258
2001,0,12943,24301,2,0.0082
2001,1,247231,1891828,4977,0.2631
2001,2,252990,3841213,8273,0.2154
2001,3,223401,5094817,9990,0.1961
2001,4,164641,4825117,8724,0.1808
2001,5,108413,3886711,6727,0.1731
2001,6+,145121,8960272,11680,0.1304
2002,0,15898,29008,0,0.0000
2002,1,368498,2703210,8880,0.3285
2002,2,375361,5165758,13883,0.2688
2002,3,286066,6124949,13579,0.2217
2002,4,195478,5592542,10896,0.1948
2002,5,123824,4435850,7916,0.1785
2002,6+,163900,10131733,13605,0.1343
2003,0,17326,36795,0,0.0000
2003,1,337975,2638448,7343,0.2783
2003,2,348328,5213808,12110,0.2323
2003,3,287551,6591692,13289,0.2016
2003,4,206177,6169646,11455,0.1857
2003,5,135521,4983774,8559,0.1717
2003,6+,186397,12043754,15959,0.1325
2004,0,20385,40374,2,0.0050
2004,1,353077,2840951,7344,0.2585
2004,2,353772,5506779,11633,0.2112
2004,3,299742,7028063,13097,0.1864
2004,4,217091,6612474,11389,0.1722
2004,5,144172,5369753,8820,0.1643
2004,6+,202171,12899514,16920,0.1312
2005,0,23109,132923,29,0.0218
2005,1,417906,3284325,7898,0.2405
2005,2,402906,6245015,12569,0.2013
2005,3,336090,7901540,14363,0.1818
2005,4,242192,7424127,12441,0.1676
2005,5,160383,6083399,9830,0.1616
2005,6+,230091,15122405,18864,0.1247
2006,0,19721,62306,0,0.0000
2006,1,443151,3681959,8164,0.2217
2006,2,437000,6970092,13096,0.1879
2006,3,360919,8633644,15074,0.1746
2006,4,263233,8186003,13626,0.1665
2006,5,177590,6797273,11267,0.1658
2006,6+,256198,16292540,21086,0.1294
2007,0,20685,53626,28,0.0522
2007,1,444518,3838718,7898,0.2057
2007,2,449962,7367939,13667,0.1855
2007,3,379488,9266271,15461,0.1669
2007,4,279908,8871156,14291,0.1611
2007,5,191601,7444847,11544,0.1551
2007,6+,282968,18216971,23198,0.1273
2008,0,22133,52316,13,0.0248
2008,1,497216,4223389,9503,0.2250
2008,2,485564,8073382,14151,0.1753
2008,3,408601,10102709,17046,0.1687
2008,4,302742,9748093,15918,0.1633
2008,5,207249,8168528,12687,0.1553
2008,6+,310144,20123208,25393,0.1262
2009,0,20748,52890,25,0.0473
2009,1,510484,4565614,8632,0.1891
2009,2,521278,8721661,14685,0.1684
2009,3,437670,10872656,17026,0.1566
2009,4,325173,10507778,16199,0.1542
2009,5,224996,8978377,13780,0.1535
2009,6+,344705,22895508,28236,0.1233
2010,0,22708,53913,4,0.0074
2010,1,555013,4933694,8237,0.1670
2010,2,556435,9468146,14375,0.1518
2010,3,468545,11806007,16765,0.1420
2010,4,351960,11555185,16029,0.1387
2010,5,244870,9870555,13125,0.1330
2010,6+,381017,25253884,30196,0.1196
2011,0,22645,53869,6,0.0111
2011,1,577726,5335332,8088,0.1516
2011,2,598558,10239161,14099,0.1377
2011,3,508982,12964669,17411,0.1343
2011,4,384355,12741911,16302,0.1279
2011,5,271573,11050912,14170,0.1282
2011,6+,430681,28770524,31906,0.1109
2012,0,25218,42476,0,0.0000
2012,1,620497,5694417,8242,0.1447
2012,2,631055,11015430,14528,0.1319
2012,3,540394,13918574,17136,0.1231
2012,4,413903,13900128,16963,0.1220
2012,5,295532,12164097,14461,0.1189
2012,6+,477430,32320634,33570,0.1039
2013,0,27714,69216,4,0.0058
2013,1,667375,6159189,8336,0.1353
2013,2,671341,11813477,14989,0.1269
2013,3,577028,14967006,17563,0.1173
2013,4,444272,15010165,17482,0.1165
2013,5,318905,13178795,15060,0.1143
2013,6+,519853,34485094,33938,0.0984
2014,0,26749,44826,4,0.0089
2014,1,695581,6539845,8492,0.1299
2014,2,705929,12579717,14210,0.1130
2014,3,611027,16018573,17051,0.1064
2014,4,473045,16116334,16471,0.1022
2014,5,342612,14262136,14225,0.0997
2014,6+,567914,37630380,32838,0.0873
2015,0,25089,45356,8,0.0176
2015,1,689497,6743108,7732,0.1147
2015,2,708475,12987483,12899,0.0993
2015,3,616231,16525141,15273,0.0924
2015,4,482333,16693620,14741,0.0883
2015,5,350920,14731619,12649,0.0859
2015,6+,589600,38632246,29010,0.0751
2016,0,30273,63277,59,0.0932
2016,1,690391,6911209,7374,0.1067
2016,2,700920,13244195,13215,0.0998
2016,3,616900,16955140,14961,0.0882
2016,4,485517,17141131,13912,0.0812
2016,5,355691,15210647,11327,0.0745
2016,6+,607152,39946845,25586,0.0641
2017,0,30407,47867,42,0.0877
2017,1,706943,7087099,7650,0.1079
2017,2,714082,13673001,13261,0.0970
2017,3,632953,17638368,15935,0.0903
2017,4,502109,17995762,15316,0.0851
2017,5,371169,16090441,12744,0.0792
2017,6+,642690,42855376,29369,0.0685
2018,0,33716,50813,91,0.1791
2018,1,740609,7466759,9402,0.1259
