  year  grp     n_papers  n_with_mutual   share%
  1975    1       89,416          5,374   6.0101
  1975    2       20,249          2,050  10.1240
  1976    1      120,786          4,426   3.6643
  1976    2       48,138          3,196   6.6392
  1976    3       17,779          1,605   9.0275
  1977    1      125,768          3,474   2.7622
  1977    2       67,347          3,448   5.1198
  1977    3       32,970          2,270   6.8850
  1977    4       13,511          1,104   8.1711
  1978    1      123,278          2,681   2.1748
  1978    2       78,543          3,261   4.1519
  1978    3       44,723          2,406   5.3798
  1978    4       21,284          1,437   6.7516
  1979    1      122,081          2,578   2.1117
  1979    2       83,762          3,159   3.7714
  1979    3       53,863          2,804   5.2058
  1979    4       27,892          1,803   6.4642
  1979    5       12,992            913   7.0274
  1979   6+       10,665            822   7.7075
  1980    1      123,335          2,276   1.8454
  1980    2       91,058          3,218   3.5340
  1980    3       61,643          2,958   4.7986
  1980    4       34,742          2,093   6.0244
  1980    5       17,305          1,169   6.7553
  1980   6+       14,946          1,125   7.5271
  1981    1      122,727          2,242   1.8268
  1981    2       95,127          3,088   3.2462
  1981    3       68,396          2,982   4.3599
  1981    4       40,940          2,296   5.6082
  1981    5       21,311          1,351   6.3394
  1981   6+       19,225          1,423   7.4018
  1982    1      121,657          2,085   1.7138
  1982    2       96,808          3,118   3.2208
  1982    3       72,897          3,159   4.3335
  1982    4       45,439          2,474   5.4447
  1982    5       24,971          1,516   6.0710
  1982   6+       24,306          1,663   6.8419
  1983    1      123,556          2,162   1.7498
  1983    2      102,135          3,202   3.1351
  1983    3       78,294          3,202   4.0897
  1983    4       50,034          2,616   5.2284
  1983    5       28,566          1,641   5.7446
  1983   6+       28,722          1,927   6.7091
  1984    1      126,521          2,122   1.6772
  1984    2      105,788          3,195   3.0202
  1984    3       82,580          3,380   4.0930
  1984    4       55,155          2,750   4.9859
  1984    5       32,250          1,911   5.9256
  1984   6+       33,770          2,206   6.5324
  1985    1      127,560          2,240   1.7560
  1985    2      110,110          3,410   3.0969
  1985    3       87,121          3,376   3.8751
  1985    4       58,676          2,793   4.7600
  1985    5       34,939          1,939   5.5497
  1985   6+       37,511          2,510   6.6914
  1986    1      130,263          2,109   1.6190
  1986    2      114,976          3,307   2.8763
  1986    3       92,923          3,467   3.7310
  1986    4       64,251          2,908   4.5260
  1986    5       38,990          2,066   5.2988
  1986   6+       42,854          2,832   6.6085
  1987    1      136,576          2,213   1.6203
  1987    2      120,539          3,424   2.8406
  1987    3       98,612          3,716   3.7683
  1987    4       68,626          3,022   4.4036
  1987    5       42,256          2,265   5.3602
  1987   6+       46,883          2,850   6.0790
  1988    1      142,601          2,248   1.5764
  1988    2      128,196          3,602   2.8098
  1988    3      105,293          3,842   3.6489
  1988    4       73,977          3,266   4.4149
  1988    5       46,276          2,463   5.3224
  1988   6+       52,083          3,315   6.3648
  1989    1      145,562          2,459   1.6893
  1989    2      134,018          3,697   2.7586
  1989    3      112,275          3,990   3.5538
  1989    4       79,144          3,347   4.2290
  1989    5       50,440          2,508   4.9722
  1989   6+       57,638          3,479   6.0359
  1990    1      152,482          2,407   1.5785
  1990    2      141,195          3,928   2.7820
  1990    3      118,822          4,188   3.5246
  1990    4       85,273          3,581   4.1995
  1990    5       54,040          2,614   4.8372
