year,diverse,mean_mutual,n_papers
1975,False,0.0,2482
1976,False,0.0,2516
1977,False,0.0,2536
1978,False,0.0,2673
1979,False,0.0,2794
1980,False,0.0,3546
1981,False,0.0,3546
1982,False,0.0,3899
1983,False,0.0,4009
1984,False,0.0,3962
1985,False,0.0,4079
1986,False,0.0,4740
1987,False,0.0,5048
1988,False,0.0,5282
1989,False,0.0,5431
1989,True,0.0,1
1990,False,0.0,6303
1991,False,0.0,6169
1992,False,0.0,6788
1993,False,0.0,7848
1993,True,0.0,1
1994,False,0.0,8144
1995,False,0.0,8557
1996,False,0.0,9228
1997,False,0.0,10406
1997,True,0.0,1
1998,False,0.0,11217
1999,False,0.0,12195
2000,False,0.0,13891
2000,True,0.0,1
2001,False,0.0,14512
2002,False,0.00012298610257040955,16262
2003,False,0.0001098780353807274,18202
2003,True,0.0,1
2004,False,0.0,20713
2004,True,0.0,1
2005,False,0.0,22590
2006,False,0.0,23365
2007,False,4.060913705583756e-05,24625
2007,True,0.0,1
2008,False,3.6730945821854914e-05,27225
2008,True,0.0,2
2009,False,0.0,29351
2010,False,0.0,30275
2011,False,0.0,30789
2012,False,0.0,28430
2012,True,0.0,1
2013,False,0.0,26958
2013,True,0.0,2
2014,False,0.0,18148
2014,True,0.0,1
2015,False,0.0,2946
2016,False,0.0,3390
2017,False,0.0,1357
2018,False,0.0016474464579901153,1214
2019,False,0.0,1006
2020,False,0.0,858
2021,False,0.0,422
2022,False,0.0,19
2023,False,0.0,6
2024,False,0.0,23
2025,False,0.0,12
